stop_id,stop_name,total_trips,total_flow,Median_Age,pop_density,Percent_Male,average_flow
163,W BROADWAY @ B ST,541,326.5,34.7,7615.800004078961,0.494,0.6035120147874307
168,TREMONT ST @ APPLETON ST,202,161.8,54.8,12044.399959823322,0.468,0.800990099009901
171,BERKELEY ST @ COLUMBUS AVE,541,780.2,42.8,8035.399960531652,0.484,1.4421441774491683
173,SAINT JAMES AVE @ BERKELEY ST,1535,2690.7,59.9,11562.000044543094,0.448,1.7528990228013028
174,RING RD @ BOYLSTON ST,1221,2397.6,64.5,5623.299988423015,0.482,1.9636363636363636
175,BOYLSTON ST @ DARTMOUTH ST,1819,7910.0,34.9,5314.299995026327,0.466,4.348543155579989
176,DARTMOUTH ST OPP BACK BAY STA,251,1307.7,36.5,14100.699966275824,0.479,5.20996015936255
177,SAINT JAMES AVE @ ARLINGTON S,327,246.9,42.8,8035.399960531652,0.484,0.7550458715596331
178,SAINT JAMES AVE @ DARTMOUTH S,2176,10411.3,34.9,5314.299995026327,0.466,4.784604779411764
179,HUNTINGTON AVE @ RING RD,536,1687.4,64.5,5623.299988423015,0.482,3.1481343283582093
180,AUCKLAND ST @ BAY ST,106,27.5,36.5,2289.200002736687,0.499,0.25943396226415094
185,MATTAPAN NORTH BUSWAY,1129,8209.8,43.0,4861.9999977891575,0.443,7.271744906997342
187,MASSACHUSETTS AVE @ MASSACHUS,644,4439.7,71.2,12309.499856514265,0.439,6.893944099378881
188,MASSACHUSETTS AVE @ MASSACHUS,670,4617.1,63.4,24569.10029737952,0.488,6.891194029850747
190,CONGRESS ST @ STATE ST,391,879.0,32.7,3863.000003707977,0.56,2.2480818414322252
191,CONGRESS ST @ NORTH ST,491,328.3,32.7,3863.000003707977,0.56,0.6686354378818737
210,SUMMER ST @ DRYDOCK AVE,461,514.8,31.5,3771.9999985032546,0.509,1.116702819956616
212,SUMMER ST @ D ST,416,253.7,31.5,3771.9999985032546,0.509,0.6098557692307692
214,SEAPORT BLVD @ PIER 4 BLVD,40,74.0,34.2,6104.199992786006,0.497,1.85
221,ATLANTIC AVE @ CONGRESS ST,90,43.5,43.4,2413.200002279796,0.537,0.48333333333333334
222,ATLANTIC AVE @ SEAPORT BLVD.,45,5.5,43.4,2413.200002279796,0.537,0.12222222222222222
223,ATLANTIC AVE @ ROWES WHARF,45,1.0,56.8,16216.099952688097,0.473,0.022222222222222223
224,ATLANTIC AVE @ STATE ST-MARRI,45,23.0,32.7,3863.000003707977,0.56,0.5111111111111111
225,ATLANTIC AVE @ ATLANTIC AVE,45,36.0,39.8,25911.399810154922,0.492,0.8
230,COMMERCIAL ST @ HANOVER ST,45,35.5,28.7,38495.10008702692,0.434,0.7888888888888889
231,COMMERCIAL ST OPP HULL ST,45,15.0,51.5,5993.099997604217,0.532,0.3333333333333333
233,COMMERCIAL ST @ BATTERY ST,40,30.5,28.7,38495.10008702692,0.434,0.7625
234,COMMERCIAL ST @ FLEET ST,40,17.5,29.2,28010.900589267043,0.452,0.4375
236,ATLANTIC AVE @ CENTRAL ST,40,51.0,32.7,3863.000003707977,0.56,1.275
244,SUMMER ST @ E ST,376,139.3,30.4,766.1000000097208,0.568,0.37047872340425536
246,SUMMER ST @ PAPPAS WAY,376,433.9,20.5,4.899999999673333,0.333,1.1539893617021275
247,NORTHERN AVE @ HARBOR ST,692,504.0,31.5,3771.9999985032546,0.509,0.7283236994219653
249,B ST @ SILVER ST,288,168.7,29.8,11201.800000051684,0.421,0.5857638888888889
250,B ST @ W 5TH ST,288,48.3,29.8,11201.800000051684,0.421,0.16770833333333332
251,B ST @ W 6TH ST,288,1.0,34.7,7615.800004078961,0.494,0.003472222222222222
252,W 7TH ST @ C ST,288,255.0,30.5,17646.800211802405,0.363,0.8854166666666666
253,W 7TH ST @ D ST,288,223.5,29.8,12917.099993501146,0.488,0.7760416666666666
254,W 7TH ST @ E ST,288,175.7,29.8,12917.099993501146,0.488,0.6100694444444444
255,W 7TH ST @ F ST,288,247.8,30.4,15103.6000768081,0.491,0.8604166666666667
256,W 7TH ST @ DORCHESTER ST,288,191.2,29.9,11222.699997585512,0.45,0.6638888888888889
258,E 8TH ST @ DORCHESTER ST,288,307.2,30.2,17941.699964110467,0.523,1.0666666666666667
259,E 8TH ST @ OLD HARBOR ST,288,163.9,29.7,14127.199946381275,0.455,0.5690972222222223
260,E 8TH ST @ COVINGTON ST,288,106.6,29.7,14127.199946381275,0.455,0.37013888888888885
261,E 8TH ST @ G ST,288,253.4,29.7,14127.199946381275,0.455,0.8798611111111111
262,E 8TH ST @ H ST,288,330.8,30.4,12593.800057327873,0.448,1.1486111111111112
263,E 8TH ST @ I ST,288,171.4,30.0,18419.599925330265,0.457,0.5951388888888889
264,E 8TH ST @ K ST,288,184.8,30.0,18419.599925330265,0.457,0.6416666666666667
265,E 8TH ST @ L ST,288,306.8,28.8,15146.300075841826,0.438,1.0652777777777778
266,E 8TH ST @ M ST,288,140.9,30.1,13093.499995370092,0.473,0.48923611111111115
267,E 8TH ST @ N ST,288,131.9,30.1,13093.499995370092,0.473,0.45798611111111115
268,COLUMBIA RD @ O ST,288,52.8,31.8,10609.999983007423,0.483,0.18333333333333332
269,W 7TH ST @ B ST,288,82.4,30.5,17646.800211802405,0.363,0.28611111111111115
270,COLUMBIA RD @ P ST,288,81.9,31.8,10609.999983007423,0.483,0.28437500000000004
275,E 8TH @ COLUMBIA RD,288,135.9,31.8,10609.999983007423,0.483,0.47187500000000004
277,E 8TH ST @ M ST,288,273.0,30.1,13093.499995370092,0.473,0.9479166666666666
278,E 8TH ST @ L ST,288,388.9,30.1,13093.499995370092,0.473,1.3503472222222221
279,E 8TH ST @ K ST,288,256.8,30.0,18419.599925330265,0.457,0.8916666666666667
280,E 8TH ST @ I ST,288,284.0,30.4,12593.800057327873,0.448,0.9861111111111112
281,E 8TH ST @ H ST,288,483.7,30.4,12593.800057327873,0.448,1.6795138888888888
282,E 8TH ST @ G ST,288,327.5,29.7,14127.199946381275,0.455,1.1371527777777777
283,E 8TH ST @ COVINGTON ST,288,116.1,29.7,14127.199946381275,0.455,0.40312499999999996
284,E 8TH ST @ OLD HARBOR ST,288,181.2,29.7,14127.199946381275,0.455,0.6291666666666667
285,E 8TH ST @ MERCER ST,288,204.2,30.4,10508.999976330197,0.439,0.7090277777777777
286,E 8TH ST @ DORCHESTER ST,288,425.0,30.2,17941.699964110467,0.523,1.4756944444444444
288,W 6TH ST @ F ST,288,274.3,29.9,11222.699997585512,0.45,0.9524305555555556
289,W 6TH ST @ E ST,288,220.0,30.4,15103.6000768081,0.491,0.7638888888888888
290,W 6TH ST @ D ST,288,250.1,29.8,12917.099993501146,0.488,0.8684027777777777
291,W 7TH ST @ D ST,288,173.7,29.8,12917.099993501146,0.488,0.6031249999999999
292,W 7TH ST @ C ST,288,252.6,29.8,12917.099993501146,0.488,0.8770833333333333
293,W 7TH @ B STREET,288,136.0,30.5,17646.800211802405,0.363,0.4722222222222222
295,P ST @ E 5TH ST,288,55.4,30.4,13311.499978242498,0.464,0.1923611111111111
296,P ST @ COLUMBIA RD,288,65.1,31.8,10609.999983007423,0.483,0.22604166666666664
303,DORCHESTER AVE @ EDISON GREEN,53,47.3,30.8,5191.600010689996,0.539,0.8924528301886792
305,DORCHSTER AVE @ HOWES ST,53,12.8,30.2,11676.50001564621,0.449,0.24150943396226415
306,DORCHESTER AVE @ MAYFIELD ST,53,28.4,30.2,11676.50001564621,0.449,0.5358490566037736
308,DORCHESTER AVE @ PEARL ST,53,10.9,35.2,9584.999991671355,0.532,0.20566037735849058
309,DORCHESTER AVE @ THORNLEY RD,53,20.9,33.2,10732.700044911719,0.548,0.3943396226415094
312,AUCKLAND ST @ DEWAR ST,106,45.1,36.5,2289.200002736687,0.499,0.42547169811320756
317,DORCHESTER AVE @ HANCOCK ST,53,26.9,33.1,6656.5000067235815,0.509,0.5075471698113208
318,DORCHESTER AVE @ LINDEN ST,53,20.4,35.4,10586.70000839144,0.507,0.38490566037735846
319,DORCHESTER AVE @ ELLET ST,53,72.3,45.0,6972.099990340606,0.515,1.3641509433962264
320,DORCHESTER AVE @ ADAMS ST,53,41.1,45.0,6972.099990340606,0.515,0.7754716981132076
322,GENEVA AVE OPP VINSON ST,466,511.4,39.9,4974.60000966055,0.505,1.0974248927038626
323,FIELDS CORNER BUSWAY,2226,12257.9,39.9,4974.60000966055,0.505,5.5066936208445645
325,PARK ST BUSWAY @ DORCHESTER A,390,207.0,39.9,4974.60000966055,0.505,0.5307692307692308
326,DORCHESTER AVE OPP GIBSON ST,60,16.9,39.9,4974.60000966055,0.505,0.2816666666666666
327,DORCHESTER AVE @ MELVILLE AVE,60,14.8,39.9,4974.60000966055,0.505,0.24666666666666667
328,1621 DORCHESTER AVE OPP DIX S,60,32.3,34.4,12180.899984807736,0.485,0.5383333333333333
329,DORCHESTER AVE @ CENTRE ST,60,24.9,36.8,8011.2999760522025,0.485,0.415
330,DORCHESTER AVE @ CHEVERUS RD,60,21.1,34.4,12180.899984807736,0.485,0.3516666666666667
331,DORCHESTER AVE OPP SHEPTON ST,60,26.0,37.6,9758.400012733911,0.462,0.43333333333333335
332,DORCHESTER AVE @ BANTON ST,60,30.1,37.6,9758.400012733911,0.462,0.5016666666666667
334,ASHMONT BUSWAY,5531,63792.2,37.4,6419.00000583878,0.47,11.533574398842886
337,DORCHESTER AVE @ MSGR LYDON W,73,33.7,37.6,9758.400012733911,0.462,0.4616438356164384
338,DORCHESTER AVE @ SHEPTON ST,73,19.7,37.6,9758.400012733911,0.462,0.26986301369863014
339,DORCHESTER AVE @ KING ST,73,21.8,34.4,12180.899984807736,0.485,0.29863013698630136
340,DORCHESTER AVE @ CENTRE ST,73,20.9,34.4,12180.899984807736,0.485,0.2863013698630137
341,DORCHESTER AVE @ DIX ST,73,21.8,34.4,12180.899984807736,0.485,0.29863013698630136
342,DORCHESTER AVE @ PARKMAN ST,73,10.5,36.8,8011.2999760522025,0.485,0.14383561643835616
343,DORCHESTER AVE @ GIBSON ST,73,13.6,39.9,4974.60000966055,0.505,0.18630136986301368
345,DORCHESTER AVE OPP CHARLES ST,53,16.8,37.4,10090.60002709683,0.475,0.31698113207547174
346,DORCHESTER AVE @ ADAMS ST,53,31.7,34.3,7088.599987531393,0.468,0.5981132075471698
347,DORCHESTER AVE @ KIMBALL ST,53,63.6,45.0,6972.099990340606,0.515,1.2
348,DORCHESTER AVE @ LINDEN ST,53,29.2,35.4,10586.70000839144,0.507,0.5509433962264151
349,DORCHESTER AVE @ HOYT ST,53,23.4,33.1,6656.5000067235815,0.509,0.4415094339622641
350,DORCHESTER AVE @ DEWAR ST,53,17.9,33.1,6656.5000067235815,0.509,0.33773584905660375
351,DORCHESTER AVE @ SAVIN HILL A,53,29.3,33.2,10732.700044911719,0.548,0.5528301886792453
352,DORCHESTER AVE @ BELFORT ST,53,16.6,33.2,10732.700044911719,0.548,0.31320754716981136
353,DORCHESTER AVE @ ROMSEY ST,53,13.1,30.2,11676.50001564621,0.449,0.24716981132075472
354,DORCHESTER AVE @ CRESCENT AVE,53,39.0,30.8,5191.600010689996,0.539,0.7358490566037735
362,COLUMBIA RD @ HOLDEN ST,960,1335.5,32.7,13831.600003959486,0.488,1.3911458333333333
367,TALBOT AVE @ DORCHESTER AVE,1629,1982.6,37.6,9758.400012733911,0.462,1.2170656844689993
369,TALBOT AVE @ WELLES AVE,1629,1558.2,33.4,10502.29997406865,0.453,0.9565377532228361
371,TALBOT AVE @ CENTRE ST,1629,4284.3,33.4,10502.29997406865,0.453,2.6300184162062616
372,TALBOT AVE @ SOUTHERN AVE,649,1776.0,31.0,8639.200007902842,0.459,2.736517719568567
373,TALBOT AVE @ SPENCER ST,649,1081.2,30.6,11043.000008815841,0.472,1.6659476117103236
374,TALBOT AVE @ TALBOT STATION,649,1048.3,30.6,11043.000008815841,0.472,1.6152542372881356
375,TALBOT AVE @ BERNARD ST,649,936.7,33.6,4336.000006543322,0.414,1.4432973805855163
376,TALBOT AVE @ KERWIN ST,649,738.8,26.1,3072.999996456137,0.418,1.1383667180277348
378,TALBOT AVE @ NIGHTINGALE ST,649,1406.6,26.1,3072.999996456137,0.418,2.1673343605546993
381,BLUE HILL AVE @ WALES ST,1515,1976.0,32.4,9865.10001397456,0.47,1.3042904290429043
382,BLUE HILL AVE @ CHARLOTTE ST,1515,1554.6,32.4,9865.10001397456,0.47,1.0261386138613862
383,BLUE HILL AVE @ ELLINGTON ST,1845,6688.599999999999,33.0,9620.200010476578,0.444,3.6252574525745254
384,BLUE HILL AVE @ PASADENA RD,1091,1874.2,35.4,14685.800044531723,0.439,1.7178735105407883
385,BLUE HILL AVE @ CASTLEGATE RD,1091,3147.3,35.4,14685.800044531723,0.439,2.8847846012832266
386,WARREN ST @ SUNDERLAND ST,1670,4856.0,33.0,9118.60001805215,0.479,2.9077844311377246
387,WARREN ST @ INTERVALE ST,1670,1840.3,33.0,9118.60001805215,0.479,1.1019760479041916
388,WARREN ST @ GASTON ST,1670,2206.7,33.0,9118.60001805215,0.479,1.3213772455089818
390,WARREN ST @ QUINCY ST,1680,4738.9,36.6,8409.00002349209,0.424,2.8207738095238093
392,WARREN ST @ MAYWOOD ST,1685,4908.3,30.8,9130.10001863623,0.464,2.9129376854599407
393,WARREN ST @ WOODBINE ST,1685,3243.8,37.3,9428.500001190278,0.469,1.9251038575667656
