stop_id,stop_name,total_trips,total_flow,median_age,pop_density,percent_male,average_flow,,geometry
473,WASHINGTON ST @ COLUMBIA RD,749,2522.6,35.1,9335.49998,0.442,3.367957276,,POINT (226434.6806000024 893820.493900001)
475,WASHINGTON STREET @ FOUR CORN,757,2495,30.1,9883.500048,0.442,3.295904888,,POINT (225644.7173999995 893825.9596999995)
477,WASHINGTON ST @ VASSAR ST,757,868.2,31.7,10000.69999,0.468,1.146895641,,POINT (231359.44330000132 893833.0469000004)
478,WASHINGTON ST @ HARVARD ST,757,2692.3,30.5,8699.600018,0.493,3.55653897,,POINT (234155.25379999727 893838.6092000008)
480,WASHINGTON ST @ ALGONQUIN ST,757,896.6,34.3,9889.100041,0.458,1.184412153,,POINT (230048.0780000016 893843.376600001)
482,WASHINGTON ST @ PARK ST,757,1836,37.6,6191.699988,0.469,2.425363276,,POINT (230048.0780000016 893843.376600001)
483,WASHINGTON ST @ WHEATLAND AVE,757,1170.8,37.6,6191.699988,0.469,1.54663144,,POINT (234136.18339999765 893845.9026000015)
485,WASHINGTON ST @ SOUTHERN AVE,757,4346.4,33.4,9999.199936,0.458,5.741611625,,POINT (230047.29670000076 893857.3751000017)
494,GALLIVAN BLVD @ WASHINGTON ST,402,5,40.7,6475.099991,0.435,0.012437811,,POINT (226463.22349999845 893857.8398999982)
496,GALLIVAN BLVD @ OWENCROFT RD,402,381.7,37.4,7296.599993,0.454,0.949502488,,POINT (236921.57169999927 893861.819600001)
497,GALLIVAN BLVD @ MILTON AVE,402,314.2,41.9,4161.700001,0.496,0.78159204,,POINT (236917.22900000215 893865.9543000013)
498,GALLIVAN BLVD @ ARBELLA RD,402,207.4,40.7,6475.099991,0.435,0.515920398,,POINT (231391.8901000023 893874.0084999986)
499,GALLIVAN BLVD @ FAIRMOUNT ST,402,1035.4,35.2,7933.699973,0.43,2.575621891,,POINT (230471.48610000312 893875.3504000008)
501,GALLIVAN BLVD @ NEVADA ST,402,223.9,40.7,6475.099991,0.435,0.556965174,,POINT (230471.48610000312 893875.3504000008)
507,GALLIVAN BLVD @ MORTON ST,854,1289.2,35.2,7933.699973,0.43,1.509601874,,POINT (230023.42159999907 888520.0628000014)
508,GALLIVAN BLVD OPP ARBELLA RD,623,199.9,40.7,6475.099991,0.435,0.320866774,,POINT (231434.55659999698 888523.3156000003)
509,GALLIVAN BLVD @ OAKRIDGE ST,623,263,41.9,4161.700001,0.496,0.422150883,,POINT (246242.41080000252 888528.819600001)
510,GALLIVAN BLVD @ PLEASANT HILL,623,295.4,40.7,6475.099991,0.435,0.474157303,,POINT (243360.16390000284 888531.9145999998)
511,WASHINGTON ST @ GALLIVAN BLVD,231,41.4,40.7,6475.099991,0.435,0.179220779,,POINT (250930.45149999857 888535.3931000009)
512,WASHINGTON ST OPP CODMAN HILL,231,6.5,37.4,7296.599993,0.454,0.028138528,,POINT (240777.22140000015 888539.3869000003)
514,WASHINGTON ST @ COOLIDGE RD,231,169.9,37.4,7296.599993,0.454,0.735497835,,POINT (250942.05629999936 888541.3093999997)
515,WASHINGTON ST @ FULLER ST,231,175.8,37.4,7296.599993,0.454,0.761038961,,POINT (239911.17859999835 888541.8891999982)
516,WASHINGTON ST @ BURT ST,231,149.4,37.4,9301.700016,0.462,0.646753247,,POINT (239911.17859999835 888541.8891999982)
517,WASHINGTON ST OPP ARMANDINE S,231,243.7,33.4,6129.800009,0.437,1.054978355,,POINT (243322.96649999917 888543.5615000017)
518,WASHINGTON ST @ ASHMONT ST,231,203.2,33.4,6129.800009,0.437,0.87965368,,POINT (240779.3103 888543.9767999984)
520,ARBORWAY @ COURTHOUSE,1536,268.3,33.3,6091.099991,0.471,0.174674479,,POINT (238570.4250999987 888550.999400001)
522,CIRCUIT DR @ SHATTUCK HOSPITA,558,382.7,20.4,1337.3,0.412,0.685842294,,POINT (250563.40609999746 888560.625)
523,MORTON ST @ CANTERBURY ST,978,909.7,14,6,0.667,0.930163599,,POINT (250563.40609999746 888560.625)
524,MORTON ST @ HARVARD ST,978,1235.8,34.2,3744.300006,0.429,1.263599182,,POINT (230921.0971999988 888570.1686000004)
525,MORTON ST @ GREENDALE RD,978,867,34.2,3744.300006,0.429,0.886503067,,POINT (243216.00450000167 888577.2536999993)
526,MORTON ST @ BLUE HILL AVE,392,1804.1,31.7,10124.69995,0.457,4.602295918,,POINT (241196.96660000086 888588.7021999992)
527,MORTON ST @ WILDWOOD ST,392,600.6,31.5,8981.10001,0.444,1.532142857,,POINT (243179.4680000022 888589.1669000015)
528,MORTON ST @ NORFOLK ST,392,1098.5,31.5,8981.10001,0.444,2.802295918,,POINT (230136.70579999685 888612.2056000009)
